日付,距離(km),平均ペース,時間,高低差,ファイル名
2026-03-05,10.03,4'15,42:37,25 m,Screenshot_20260305_173326_Nike_Run_Club.jpg
2026-03-05,4.12,4'16,5:33,1 m,Screenshot_20260305_173332_Nike_Run_Club.jpg
2026-04-17,3.62,15'15,15:21,12 m,Screenshot_20260417_180000_Nike_Run_Club.jpg
2026-05-15,11.39,4'40,52:59,22 m,Screenshot_20260515_210337_Nike_Run_Club.jpg
2026-05-23,5.2,4'45,24:42,20 m,Screenshot_20260523_204500_Nike_Run_Club.jpg
2026-08-01,5.03,5'11,26:03,18 m,Screenshot_20260801_200715_Nike_Run_Club.jpg
2026-09-16,21.74,4'41,1:41:37,44 m,Screenshot_20260915_005747_Nike_Run_Club.jpg
2026-09-16,7.52,5'01,1:00,1 m,Screenshot_20260915_010014_Nike_Run_Club.jpg
